date,country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred
2020-12-19,Israel,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,Israel,7432.0,7432.0,0.09,0.09,7371.0,7371.0,852.0,0.0,0.0
2020-12-20,USA,556208.0,556208.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0
2020-12-21,USA,614117.0,614117.0,0.18,0.18,57909.0,57909.0,173.0,0.0,0.0
2020-12-21,Israel,32302.0,32302.0,0.37,0.37,24870.0,16120.0,1862.0,0.0,0.0
2020-12-22,Israel,76910.0,76910.0,0.89,0.89,44608.0,25616.0,2959.0,0.0,0.0
2020-12-22,USA,0.0,0.0,0.0,0.0,0.0,127432.0,381.0,0.0,0.0
2020-12-23,Israel,139717.0,139717.0,1.6099999999999999,1.6099999999999999,62807.0,34914.0,4034.0,0.0,0.0
2020-12-23,USA,1008025.0,1008025.0,0.30000000000000004,0.30000000000000004,0.0,150606.0,450.0,0.0,0.0
2020-12-24,USA,0.0,0.0,0.0,0.0,0.0,191001.0,571.0,0.0,0.0
2020-12-24,Israel,213002.0,213002.0,2.46,2.46,73285.0,42588.0,4920.0,0.0,0.0
2020-12-25,Israel,251435.0,251435.0,2.9,2.9,38433.0,41896.0,4840.0,0.0,0.0
2020-12-25,USA,0.0,0.0,0.0,0.0,0.0,215238.0,644.0,0.0,0.0
2020-12-26,Israel,283986.0,283986.0,3.2800000000000002,3.2800000000000002,32551.0,40561.0,4686.0,0.0,0.0
2020-12-26,USA,1944585.0,1944585.0,0.58,0.58,0.0,231396.0,692.0,0.0,0.0
2020-12-27,Israel,388249.0,388249.0,4.49,4.49,104263.0,54402.0,6285.0,0.0,0.0
2020-12-27,USA,0.0,0.0,0.0,0.0,0.0,211379.0,632.0,0.0,0.0
2020-12-28,Israel,522942.0,522942.0,6.04,6.04,134693.0,70091.0,8098.0,0.0,0.0
2020-12-28,USA,2127143.0,2127143.0,0.64,0.64,0.0,216147.0,646.0,0.0,0.0
2020-12-29,Israel,678764.0,678764.0,7.84,7.84,155822.0,85979.0,9933.0,0.0,0.0
2020-12-29,USA,0.0,0.0,0.0,0.0,0.0,235685.0,705.0,0.0,0.0
2020-12-30,USA,2794588.0,2794588.0,0.84,0.84,0.0,255223.0,763.0,0.0,0.0
2020-12-30,Israel,831341.0,831341.0,9.6,9.6,152577.0,98803.0,11415.0,0.0,0.0
2020-12-31,USA,0.0,0.0,0.0,0.0,0.0,278776.0,834.0,0.0,0.0
2020-12-31,Israel,989331.0,989331.0,11.43,11.43,157990.0,110904.0,12813.0,0.0,0.0
2021-01-01,Israel,1060487.0,1060487.0,12.25,12.25,71156.0,115579.0,13353.0,0.0,0.0
2021-01-01,USA,0.0,0.0,0.0,0.0,0.0,302329.0,904.0,0.0,0.0
2021-01-02,Israel,1132033.0,1132033.0,13.08,13.08,71546.0,121150.0,13997.0,0.0,0.0
