,date,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred
0,2020-12-19,61,61,0.0,0.0,,,,,
1,2020-12-20,7432,7432,0.09,0.09,7371.0,7371.0,852.0,,
2,2020-12-21,32302,32302,0.37,0.37,24870.0,16120.0,1862.0,,
3,2020-12-22,76910,76910,0.89,0.89,44608.0,25616.0,2959.0,,
4,2020-12-23,139717,139717,1.6099999999999999,1.6099999999999999,62807.0,34914.0,4034.0,,
5,2020-12-24,213002,213002,2.46,2.46,73285.0,42588.0,4920.0,,
6,2020-12-25,251435,251435,2.9,2.9,38433.0,41896.0,4840.0,,
7,2020-12-26,283986,283986,3.2800000000000002,3.2800000000000002,32551.0,40561.0,4686.0,,
8,2020-12-27,388249,388249,4.49,4.49,104263.0,54402.0,6285.0,,
9,2020-12-28,522942,522942,6.04,6.04,134693.0,70091.0,8098.0,,
10,2020-12-29,678764,678764,7.84,7.84,155822.0,85979.0,9933.0,,
11,2020-12-30,831341,831341,9.6,9.6,152577.0,98803.0,11415.0,,
12,2020-12-31,989331,989331,11.43,11.43,157990.0,110904.0,12813.0,,
13,2021-01-01,1060487,1060487,12.25,12.25,71156.0,115579.0,13353.0,,
14,2021-01-02,1132033,1132033,13.08,13.08,71546.0,121150.0,13997.0,,
15,2021-01-03,1281265,1281265,14.8,14.8,149232.0,127574.0,14739.0,,
16,2021-01-04,1432941,1432939,16.56,16.56,151676.0,130000.0,15019.0,2.0,0.0
17,2021-01-05,1557582,1557580,18.0,18.0,124641.0,125545.0,14505.0,2.0,0.0
18,2021-01-06,1660464,1660462,19.18,19.18,102882.0,118446.0,13684.0,2.0,0.0
19,2021-01-07,1776081,1776076,20.52,20.52,115617.0,112393.0,12985.0,5.0,0.0
20,2021-01-08,1842284,1842276,21.28,21.28,66203.0,111685.0,12903.0,8.0,0.0
21,2021-01-09,1886715,1886685,21.8,21.8,44431.0,107812.0,12456.0,30.0,0.0
22,2021-01-10,1930180,1924166,22.3,22.23,43465.0,92702.0,10710.0,6014.0,0.07
23,2021-01-11,1970387,1945151,22.76,22.47,40207.0,76778.0,8870.0,25236.0,0.29
24,2021-01-12,2029827,1968971,23.45,22.75,59440.0,67464.0,7794.0,60856.0,0.7000000000000001
