,date,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred
0,2020-12-20,556208.0,556208.0,0.17,0.17,,,,,
1,2020-12-21,614117.0,614117.0,0.18,0.18,57909.0,57909.0,173.0,,
2,2020-12-22,,,,,,127432.0,381.0,,
3,2020-12-23,1008025.0,1008025.0,0.30000000000000004,0.30000000000000004,,150606.0,450.0,,
4,2020-12-24,,,,,,191001.0,571.0,,
5,2020-12-25,,,,,,215238.0,644.0,,
6,2020-12-26,1944585.0,1944585.0,0.58,0.58,,231396.0,692.0,,
7,2020-12-27,,,,,,211379.0,632.0,,
8,2020-12-28,2127143.0,2127143.0,0.64,0.64,,216147.0,646.0,,
9,2020-12-29,,,,,,235685.0,705.0,,
10,2020-12-30,2794588.0,2794588.0,0.84,0.84,,255223.0,763.0,,
11,2020-12-31,,,,,,278776.0,834.0,,
12,2021-01-01,,,,,,302329.0,904.0,,
13,2021-01-02,4225756.0,4225756.0,1.26,1.26,,325882.0,974.0,,
14,2021-01-03,,,,,,336949.0,1007.0,,
15,2021-01-04,4563260.0,4563260.0,1.3599999999999999,1.3599999999999999,,348017.0,1041.0,,
16,2021-01-05,4836469.0,4836469.0,1.45,1.45,273209.0,339372.0,1015.0,,
17,2021-01-06,5306797.0,5306797.0,1.5899999999999999,1.5899999999999999,470328.0,358887.0,1073.0,,
18,2021-01-07,5919418.0,5919418.0,1.77,1.77,612621.0,378253.0,1131.0,,
19,2021-01-08,6688231.0,6688231.0,2.0,2.0,768813.0,419933.0,1256.0,,
20,2021-01-09,,,,,,461263.0,1379.0,,
21,2021-01-10,,,,,,546636.0,1634.0,,
22,2021-01-11,8987322.0,8987322.0,2.69,2.69,,632009.0,1890.0,,
23,2021-01-12,9327138.0,9327138.0,2.79,2.79,339816.0,641524.0,1918.0,,
24,2021-01-13,10278462.0,,3.07,,951324.0,710238.0,2124.0,,
25,2021-01-14,11148991.0,9690757.0,3.33,2.9,870529.0,747082.0,2234.0,1342086.0,0.4
26,2021-01-15,12279180.0,10595866.0,3.67,3.17,1130189.0,798707.0,2388.0,1610524.0,0.48
27,2021-01-16,,,,,,811670.0,2427.0,,
28,2021-01-17,,,,,,824632.0,2466.0,,
29,2021-01-18,,,,,,837595.0,2504.0,,
